,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y,MAE,MSE,RMS,Departamento,aux_1,aux_2,yearly,yearly_lower,yearly_upper
92,2018-11-19,41.076102588159145,-1541.6147919463888,484.768406096936,41.068313976610575,41.084017134248704,-592.3726300316049,-592.3726300316049,-592.3726300316049,29.950025273837245,29.950025273837245,29.950025273837245,0.0,0.0,0.0,-551.2965274434457,10,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-622.3226553054423,-622.3226553054423,-622.3226553054423
93,2018-12-02,24.41464525174567,-1809.9313017317027,184.00213196295206,24.406276472949816,24.42302874291378,-805.0348929670614,-805.0348929670614,-805.0348929670614,-93.16941807377789,-93.16941807377789,-93.16941807377789,0.0,0.0,0.0,-780.6202477153157,26,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-711.8654748932835,-711.8654748932835,-711.8654748932835
94,2018-12-03,23.132994687406423,-1622.4663341359264,312.51432751397687,23.12459801330105,23.141398980800044,-652.8548058742751,-652.8548058742751,-652.8548058742751,29.950025272353198,29.950025272353198,29.950025272353198,0.0,0.0,0.0,-629.7218111868688,12,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-682.8048311466283,-682.8048311466283,-682.8048311466283
95,2018-12-17,5.189886786653236,-1389.6756564471268,724.1167005628099,5.180594801656031,5.198824145623854,-325.49789162920706,-325.49789162920706,-325.49789162920706,29.950025273140934,29.950025273140934,29.950025273140934,0.0,0.0,0.0,-320.3080048425538,14,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-355.44791690234797,-355.44791690234797,-355.44791690234797
96,2018-12-24,-3.781667163723124,-1255.4199982039013,712.2145222464612,-3.7910747820566937,-3.7723574864546214,-289.8515447173304,-289.8515447173304,-289.8515447173304,29.950025271577434,29.950025271577434,29.950025271577434,0.0,0.0,0.0,-293.6332118810535,15,869.5265532141544,1244490.849753274,1115.5675012088125,PUTUMAYO,0,1,-319.80156998890783,-319.80156998890783,-319.80156998890783
0,2015-12-10,2033.100658932168,420.2994756800888,1724.5903192740734,2033.100658932168,2033.100658932168,-940.7110280177031,-940.7110280177031,-940.7110280177031,-940.7110280177031,-940.7110280177031,-940.7110280177031,0.0,0.0,0.0,1092.3896309144648,86,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
1,2016-01-02,1777.4002747883198,3505.8046277364692,4868.31757110095,1777.4002747883198,1777.4002747883198,2410.4714781250223,2410.4714781250223,2410.4714781250223,2410.4714781250223,2410.4714781250223,2410.4714781250223,0.0,0.0,0.0,4187.871752913342,4201,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
2,2016-02-05,1399.4084029138428,1710.3682324678684,3154.07269810617,1399.4084029138428,1399.4084029138428,1037.7175381358277,1037.7175381358277,1037.7175381358277,1037.7175381358277,1037.7175381358277,1037.7175381358277,0.0,0.0,0.0,2437.1259410496705,2087,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
3,2016-02-15,1288.2343228059394,1931.6061295868906,3353.5407310876,1288.2343228059394,1288.2343228059394,1355.2794545582892,1355.2794545582892,1355.2794545582892,1355.2794545582892,1355.2794545582892,1355.2794545582892,0.0,0.0,0.0,2643.5137773642286,3180,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
4,2016-02-22,1210.4124667479236,1867.640931481193,3251.5800834227407,1210.4124667479236,1210.4124667479236,1355.2794545345307,1355.2794545345307,1355.2794545345307,1355.2794545345307,1355.2794545345307,1355.2794545345307,0.0,0.0,0.0,2565.691921282454,2619,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
